endpoint,workload_or_mode,metric_source,baseline_sample_type,baseline_sample_count,baseline_total_ms_min,baseline_total_ms_max,baseline_query_count,baseline_mongo_ms,baseline_js_ms,baseline_http_5xx_rate,baseline_cache_source,canary_release_sha,canary_feature_flags,canary_sample_count,canary_total_ms_p50,canary_total_ms_p95,canary_query_count_avg,canary_query_count_max,canary_mongo_ms_avg,canary_js_ms_avg,canary_http_5xx_rate,canary_cache_source,canary_duplicate_ledger,canary_debt_deviation,comparison_status,notes
POST /api/new/delivery-today/adjustments/bulk-commit,16 orders,USER_REPORTED_HISTORICAL_BASELINE,single_observation_or_range,1,55288,55288,252,,,,legacy_or_unspecified,c1670933d271d64762c679d3ac81419e92134564b7d8e0ab74edb260ea14b018,NOT_PROVIDED,0,,,,,,,,NOT_PROVIDED,NOT_VERIFIED,NOT_VERIFIED,INSUFFICIENT_SAMPLE,Historical user-reported single observation; no release SHA or flags.
POST /api/new/delivery-today/adjustments/bulk-commit,26 orders,USER_REPORTED_HISTORICAL_BASELINE,single_observation_or_range,1,89839,89839,413,,,,legacy_or_unspecified,c1670933d271d64762c679d3ac81419e92134564b7d8e0ab74edb260ea14b018,NOT_PROVIDED,0,,,,,,,,NOT_PROVIDED,NOT_VERIFIED,NOT_VERIFIED,INSUFFICIENT_SAMPLE,Historical user-reported single observation; no release SHA or flags.
POST /api/new/delivery-today/adjustments/bulk-commit,60 orders,USER_REPORTED_HISTORICAL_BASELINE,single_observation_or_range,1,210881,210881,986,,,,legacy_or_unspecified,c1670933d271d64762c679d3ac81419e92134564b7d8e0ab74edb260ea14b018,NOT_PROVIDED,0,,,,,,,,NOT_PROVIDED,NOT_VERIFIED,NOT_VERIFIED,INSUFFICIENT_SAMPLE,Historical user-reported single observation; baseline exceeds 45s/500-query contract; no canary evidence.
GET /api/new/delivery-today/orders,legacy/unspecified,USER_REPORTED_HISTORICAL_BASELINE,single_observation_or_range,1,2100,2700,,,,,legacy_or_unspecified,c1670933d271d64762c679d3ac81419e92134564b7d8e0ab74edb260ea14b018,NOT_PROVIDED,0,,,,,,,,NOT_PROVIDED,NOT_VERIFIED,NOT_VERIFIED,INSUFFICIENT_SAMPLE,"Historical range, not p95."
GET /api/new/delivery-today/suggestions,legacy/unspecified,USER_REPORTED_HISTORICAL_BASELINE,single_observation_or_range,1,1300,1700,,,,,legacy_or_unspecified,c1670933d271d64762c679d3ac81419e92134564b7d8e0ab74edb260ea14b018,NOT_PROVIDED,0,,,,,,,,NOT_PROVIDED,NOT_VERIFIED,NOT_VERIFIED,INSUFFICIENT_SAMPLE,"Historical range, not p95."
GET /api/dashboard/sales-staff,legacy/unspecified,USER_REPORTED_HISTORICAL_BASELINE,single_observation_or_range,1,2400,4000,,,,,legacy_or_unspecified,c1670933d271d64762c679d3ac81419e92134564b7d8e0ab74edb260ea14b018,NOT_PROVIDED,0,,,,,,,,NOT_PROVIDED,NOT_VERIFIED,NOT_VERIFIED,INSUFFICIENT_SAMPLE,"Historical range, not separated by cache source."
GET /api/dashboard/delivery-summary,legacy/unspecified,USER_REPORTED_HISTORICAL_BASELINE,single_observation_or_range,1,1200,1300,,,,,legacy_or_unspecified,c1670933d271d64762c679d3ac81419e92134564b7d8e0ab74edb260ea14b018,NOT_PROVIDED,0,,,,,,,,NOT_PROVIDED,NOT_VERIFIED,NOT_VERIFIED,INSUFFICIENT_SAMPLE,"Historical range, not separated by cache source."
GET /api/dashboard/sales-staff,cache-hit,NO_BASELINE_MODE_SAMPLE,missing,0,,,,,,,legacy_or_unspecified,c1670933d271d64762c679d3ac81419e92134564b7d8e0ab74edb260ea14b018,NOT_PROVIDED,0,,,,,,,,NOT_PROVIDED,NOT_VERIFIED,NOT_VERIFIED,INSUFFICIENT_SAMPLE,Must be measured separately from read-model and fallback.
GET /api/dashboard/sales-staff,read-model,NO_BASELINE_MODE_SAMPLE,missing,0,,,,,,,legacy_or_unspecified,c1670933d271d64762c679d3ac81419e92134564b7d8e0ab74edb260ea14b018,NOT_PROVIDED,0,,,,,,,,NOT_PROVIDED,NOT_VERIFIED,NOT_VERIFIED,INSUFFICIENT_SAMPLE,Must be measured separately from cache-hit and fallback.
GET /api/dashboard/sales-staff,fallback,NO_BASELINE_MODE_SAMPLE,missing,0,,,,,,,legacy_or_unspecified,c1670933d271d64762c679d3ac81419e92134564b7d8e0ab74edb260ea14b018,NOT_PROVIDED,0,,,,,,,,NOT_PROVIDED,NOT_VERIFIED,NOT_VERIFIED,INSUFFICIENT_SAMPLE,Must be measured separately from cache-hit and read-model.
